HCO_ID,Sales,Units,Rank,Sales_Share,Cumulative_Sales_Share,Province,Region,HCO_Type,HCO_Tier
HCO1589,1033141499.0,291.0,42,0.001626385006232499,0.08995684828667201,Kien Giang,South,Vax Center,Tier 1
HCO1474,1028596370.0,300.0,43,0.0016192300040724391,0.09157607829074445,Ha Tinh,Central,Hospital,Tier 1
HCO0055,1025225317.0,291.0,44,0.0016139232478732913,0.09319000153861774,Hanoi,North,Hospital,Tier 1
HCO1730,1024807365.0,291.0,45,0.0016132653023094138,0.09480326684092716,Long An,South,Hospital,Tier 1
HCO0327,1017950792.0,284.0,46,0.001602471594446423,0.09640573843537358,Dong Nai,South,Vax Center,Tier 1
HCO0477,1015556038.0,288.0,47,0.0015987017410401033,0.09800444017641367,Nam Dinh,North,Vax Center,Tier 1
HCO0119,1012891226.0,292.0,48,0.0015945067587599185,0.0995989469351736,Ha Tinh,Central,Vax Center,Tier 1
HCO0643,999701444.0,290.0,49,0.001573743229561799,0.1011726901647354,Kien Giang,South,Vax Center,Tier 1
HCO1740,974213938.0,276.0,50,0.001533620460662492,0.1027063106253979,Binh Duong,South,Hospital,Tier 1
HCO0512,971937204.0,282.0,51,0.0015300363959004396,0.10423634702129833,Da Nang,Central,Hospital,Tier 1
HCO0885,967833434.0,281.0,52,0.0015235761869131065,0.10575992320821144,Kien Giang,South,Hospital,Tier 1
HCO0002,967480215.0,271.0,53,0.0015230201448936226,0.10728294335310506,Kien Giang,South,Hospital,Tier 1
HCO1709,966117862.0,279.0,54,0.00152087551079022,0.10880381886389529,Hue,Central,Vax Center,Tier 1
HCO0369,963414536.0,281.0,55,0.0015166198992620664,0.11032043876315735,Quang Binh,Central,Hospital,Tier 1
HCO1521,956743219.0,267.0,56,0.001506117823843427,0.11182655658700077,Bac Ninh,North,Hospital,Tier 1
HCO1754,952835830.0,275.0,57,0.0014999667604225222,0.1133265233474233,Hai Duong,North,Hospital,Tier 1
HCO0308,943266341.0,270.0,58,0.0014849023443265941,0.11481142569174989,Lam Dong,South,Vax Center,Tier 1
HCO1941,936406589.0,264.0,59,0.0014741036320397756,0.11628552932378966,Nam Dinh,North,Hospital,Tier 1
HCO1288,933591691.0,266.0,60,0.0014696723823941994,0.11775520170618387,Hanoi,North,Vax Center,Tier 1
HCO1450,930473237.0,261.0,61,0.0014647632708803023,0.11921996497706416,Quang Binh,Central,Hospital,Tier 1
HCO1030,930372859.0,268.0,62,0.0014646052545056686,0.12068457023156984,Khanh Hoa,South,Hospital,Tier 1
HCO0989,904891351.0,260.0,63,0.0014244919277372572,0.1221090621593071,Hanoi,North,Hospital,Tier 1
HCO0753,900009925.0,250.0,64,0.0014168075223938285,0.12352586968170093,Ha Tinh,Central,Hospital,Tier 1
HCO1147,896897915.0,245.0,65,0.0014119085551099234,0.12493777823681085,Quang Binh,Central,Vax Center,Tier 1
HCO0516,894557970.0,258.0,66,0.0014082249827559988,0.12634600321956685,Ha Tinh,Central,Hospital,Tier 1
HCO1372,890514460.0,242.0,67,0.0014018596358573246,0.12774786285542417,Hai Phong,North,Hospital,Tier 1
HCO1710,890350546.0,247.0,68,0.0014016016002715219,0.1291494644556957,Dong Nai,South,Hospital,Tier 1
HCO1144,884415021.0,248.0,69,0.0013922578183467207,0.13054172227404243,Dong Nai,South,Hospital,Tier 1
HCO0404,883610634.0,249.0,70,0.001390991541697032,0.13193271381573946,Binh Duong,South,Hospital,Tier 1
HCO1836,879965572.0,249.0,71,0.0013852534369075853,0.13331796725264705,Ho Chi Minh City,South,Vax Center,Tier 1
HCO0787,878011869.0,241.0,72,0.0013821778918163205,0.13470014514446338,Ba Ria - Vung Tau,South,Vax Center,Tier 1
HCO0443,872433426.0,252.0,73,0.0013733962330966733,0.13607354137756006,Bac Ninh,North,Hospital,Tier 1
HCO0887,866285608.0,249.0,74,0.0013637182567246815,0.13743725963428474,Quang Ninh,North,Hospital,Tier 1
HCO0374,865189160.0,244.0,75,0.0013619922137876397,0.13879925184807237,Quang Ninh,North,Vax Center,Tier 1
HCO1816,862859606.0,242.0,76,0.0013583249990832878,0.14015757684715566,Quang Ngai,Central,Vax Center,Tier 1
HCO1431,861988595.0,253.0,77,0.0013569538420520053,0.14151453068920766,Dong Nai,South,Vax Center,Tier 1
HCO0087,860891814.0,248.0,78,0.0013552272749019613,0.1428697579641096,Dong Nai,South,Hospital,Tier 1
HCO1756,856896865.0,246.0,79,0.0013489383733714813,0.1442186963374811,Ho Chi Minh City,South,Hospital,Tier 1
HCO0509,852114085.0,241.0,80,0.0013414092578653888,0.1455601055953465,Hai Duong,North,Hospital,Tier 1
HCO1507,849893130.0,245.0,81,0.001337913001142555,0.14689801859648904,Dong Nai,South,Hospital,Tier 1
HCO1066,849698003.0,236.0,82,0.0013376058296395053,0.14823562442612856,Nghe An,Central,Hospital,Tier 1
HCO0132,844189476.0,236.0,83,0.001328934233611373,0.14956455865973994,Long An,South,Vax Center,Tier 1
HCO1223,842199221.0,229.0,84,0.0013258011478784774,0.15089035980761842,Bac Ninh,North,Vax Center,Tier 1
HCO1267,840730927.0,244.0,85,0.0013234897400522963,0.15221384954767073,Quang Ninh,North,Vax Center,Tier 1
HCO1728,839995976.0,240.0,86,0.0013223327704717765,0.1535361823181425,Kien Giang,South,Hospital,Tier 1
HCO0694,839643712.0,239.0,87,0.0013217782318259183,0.15485796054996842,Can Tho,South,Vax Center,Tier 1
HCO0616,835705632.0,238.0,88,0.001315578854227067,0.15617353940419548,Ho Chi Minh City,South,Hospital,Tier 1
HCO0984,834380886.0,239.0,89,0.0013134934215602427,0.1574870328257557,Can Tho,South,Vax Center,Tier 1
HCO1858,834309928.0,236.0,90,0.0013133817185385522,0.15880041454429428,Hung Yen,North,Hospital,Tier 1
HCO0816,833717418.0,238.0,91,0.0013124489814633543,0.16011286352575763,Ba Ria - Vung Tau,South,Vax Center,Tier 1
HCO1743,830945917.0,233.0,92,0.0013080860479489022,0.16142094957370653,Quang Ngai,Central,Vax Center,Tier 1
HCO0397,826457886.0,238.0,93,0.0013010209302152986,0.16272197050392184,Thai Nguyen,North,Hospital,Tier 1
HCO1533,819273244.0,228.0,94,0.0012897107717953161,0.16401168127571716,Ba Ria - Vung Tau,South,Hospital,Tier 1
HCO1659,817217317.0,233.0,95,0.0012864743043318127,0.16529815558004898,Da Nang,Central,Vax Center,Tier 1
HCO1693,817062278.0,236.0,96,0.0012862302398883407,0.16658438581993731,Khanh Hoa,South,Hospital,Tier 1
HCO0852,815032354.0,224.0,97,0.0012830347066912064,0.1678674205266285,Quang Ngai,Central,Vax Center,Tier 1
HCO1464,810081418.0,228.0,98,0.0012752408777868304,0.16914266140441533,Dong Nai,South,Hospital,Tier 1
HCO0868,809051032.0,230.0,99,0.0012736188305235523,0.17041628023493888,Hung Yen,North,Vax Center,Tier 1
HCO0564,807419621.0,237.0,100,0.001271050641759505,0.17168733087669838,Quang Ngai,Central,Hospital,Tier 1
HCO1217,803516018.0,223.0,101,0.0012649055383098524,0.17295223641500823,Quang Ngai,Central,Hospital,Tier 1
HCO1495,800317236.0,223.0,102,0.00125986997339639,0.17421210638840462,Khanh Hoa,South,Vax Center,Tier 1
HCO0682,797531838.0,233.0,103,0.0012554851630408146,0.17546759155144542,Binh Dinh,Central,Hospital,Tier 1
HCO0819,796678733.0,224.0,104,0.0012541421938714558,0.17672173374531688,Bac Ninh,North,Hospital,Tier 1
HCO0833,795180289.0,228.0,105,0.0012517833235166807,0.17797351706883358,Dong Nai,South,Hospital,Tier 1
HCO0451,794462796.0,226.0,106,0.0012506538365505621,0.17922417090538414,Nghe An,Central,Vax Center,Tier 1
HCO0797,789141907.0,222.0,107,0.0012422776227426725,0.18046644852812682,Quang Nam,Central,Hospital,Tier 1
HCO0554,787457989.0,232.0,108,0.0012396267767650637,0.18170607530489188,Nghe An,Central,Vax Center,Tier 1
HCO1767,786962445.0,220.0,109,0.0012388466848489916,0.18294492198974088,Da Nang,Central,Hospital,Tier 1
HCO0444,784515855.0,222.0,110,0.001234995230526181,0.18417991722026705,Bac Ninh,North,Hospital,Tier 1
HCO0252,782488399.0,225.0,111,0.0012318035824872748,0.18541172080275434,Hung Yen,North,Vax Center,Tier 1
HCO1202,770401819.0,212.0,112,0.0012127767284622875,0.18662449753121663,Quang Nam,Central,Hospital,Tier 1
HCO0685,770181514.0,222.0,113,0.0012124299214187752,0.1878369274526354,Dong Nai,South,Vax Center,Tier 1
HCO1462,770050838.0,210.0,114,0.001212224209531991,0.18904915166216738,Binh Duong,South,Hospital,Tier 1
HCO0436,769275076.0,220.0,115,0.0012110029947357348,0.1902601546569031,Khanh Hoa,South,Vax Center,Tier 1
HCO1151,767957697.0,218.0,116,0.0012089291592977049,0.1914690838162008,Dong Nai,South,Vax Center,Tier 1
HCO0418,767224593.0,222.0,117,0.0012077750972890032,0.19267685891348982,Quang Ngai,Central,Hospital,Tier 1
HCO1169,765499625.0,222.0,118,0.0012050596298586983,0.19388191854334852,Vinh Phuc,North,Hospital,Tier 1
HCO0086,765102676.0,219.0,119,0.001204434747495088,0.19508635329084362,Ho Chi Minh City,South,Hospital,Tier 1
HCO1214,744579974.0,210.0,120,0.0011721276386890969,0.1962584809295327,Hai Phong,North,Vax Center,Tier 1
HCO0718,741845363.0,212.0,121,0.001167822777900344,0.19742630370743305,Ha Tinh,Central,Vax Center,Tier 1
HCO1748,741328656.0,201.0,122,0.0011670093709098895,0.19859331307834294,Ha Tinh,Central,Hospital,Tier 1
HCO0663,737187584.0,207.0,123,0.00116049044062101,0.19975380351896393,Thai Nguyen,North,Hospital,Tier 1
HCO1394,734470947.0,204.0,124,0.0011562138747406802,0.20091001739370462,Nghe An,Central,Hospital,Tier 1
HCO0429,734074831.0,209.0,125,0.0011555903036966823,0.2020656076974013,Dong Nai,South,Vax Center,Tier 1
HCO0315,732357448.0,210.0,126,0.0011528867766736539,0.20321849447407497,Dong Nai,South,Hospital,Tier 1
HCO0279,732251384.0,206.0,127,0.0011527198093226492,0.20437121428339763,Vinh Phuc,North,Hospital,Tier 1
HCO0158,730664314.0,208.0,128,0.0011502214227470061,0.20552143570614465,Quang Ninh,North,Hospital,Tier 1
HCO0922,725966722.0,203.0,129,0.00114282641131673,0.20666426211746136,Thai Nguyen,North,Hospital,Tier 1
HCO1520,724992800.0,213.0,130,0.0011412932504287266,0.20780555536789008,Vinh Phuc,North,Hospital,Tier 1
HCO0982,721839948.0,198.0,131,0.0011363299891284755,0.20894188535701855,Quang Ngai,Central,Hospital,Tier 1
HCO1596,718570327.0,208.0,132,0.0011311829085246957,0.21007306826554326,Dong Nai,South,Hospital,Tier 1
HCO0668,717917556.0,205.0,133,0.0011301553077866253,0.21120322357332988,Quang Nam,Central,Vax Center,Tier 1
HCO1179,717713969.0,204.0,134,0.001129834818439731,0.2123330583917696,Vinh Phuc,North,Vax Center,Tier 1
HCO0902,715001648.0,199.0,135,0.0011255650468636601,0.21345862343863325,Thanh Hoa,Central,Vax Center,Tier 1
HCO1383,712386320.0,202.0,136,0.001121447962950472,0.21458007140158372,Ho Chi Minh City,South,Hospital,Tier 1
HCO1060,710546507.0,193.0,137,0.0011185517050028744,0.2156986231065866,Ha Tinh,Central,Hospital,Tier 1
HCO0817,709434434.0,204.0,138,0.0011168010649842644,0.21681542417157088,Nghe An,Central,Hospital,Tier 1
HCO0651,707178100.0,207.0,139,0.0011132491141719078,0.21792867328574278,Hai Phong,North,Hospital,Tier 1
HCO0145,698210320.0,205.0,140,0.0010991319163385917,0.21902780520208137,Hai Duong,North,Hospital,Tier 1
HCO1194,697091748.0,198.0,141,0.0010973710455082627,0.22012517624758962,Binh Dinh,Central,Hospital,Tier 1
HCO1449,697072782.0,196.0,142,0.0010973411889803253,0.22122251743656995,Quang Binh,Central,Vax Center,Tier 1
HCO1059,696503278.0,193.0,143,0.001096444668254475,0.22231896210482444,Quang Binh,Central,Hospital,Tier 1
HCO1962,694550709.0,202.0,144,0.0010933709083210022,0.22341233301314545,Binh Dinh,Central,Vax Center,Tier 1
HCO0957,693368985.0,195.0,145,0.0010915106227773806,0.22450384363592282,Ninh Binh,North,Hospital,Tier 1
HCO0735,691716466.0,194.0,146,0.0010889092055206778,0.2255927528414435,Long An,South,Vax Center,Tier 1
HCO0602,691598696.0,202.0,147,0.0010887238104297155,0.22668147665187321,Binh Duong,South,Vax Center,Tier 1
HCO1354,685817266.0,189.0,148,0.0010796226068911065,0.2277610992587643,Kien Giang,South,Hospital,Tier 1
HCO1926,684710903.0,195.0,149,0.001077880955629985,0.2288389802143943,Kien Giang,South,Hospital,Tier 1
HCO1384,683968913.0,201.0,150,0.001076712905162607,0.22991569311955692,Tien Giang,South,Vax Center,Tier 1
HCO1901,683426153.0,193.0,151,0.0010758584851951222,0.23099155160475204,Binh Dinh,Central,Hospital,Tier 1
HCO0747,682502010.0,193.0,152,0.0010744036870670153,0.23206595529181906,Quang Ngai,Central,Vax Center,Tier 1
HCO0683,679893211.0,192.0,153,0.0010702968811919429,0.233136252173011,Binh Duong,South,Vax Center,Tier 1
HCO1893,679873298.0,192.0,154,0.0010702655338840857,0.2342065177068951,Quang Binh,Central,Hospital,Tier 1
HCO1107,678625182.0,196.0,155,0.001068300733176338,0.23527481844007145,Quang Binh,Central,Hospital,Tier 1
HCO0900,678381336.0,193.0,156,0.0010679168675794052,0.23634273530765085,Lam Dong,South,Vax Center,Tier 1
HCO1160,677971666.0,193.0,157,0.0010672719596494186,0.23741000726730027,Binh Dinh,Central,Vax Center,Tier 1
HCO1965,677834986.0,185.0,158,0.0010670567961864592,0.23847706406348673,Quang Binh,Central,Vax Center,Tier 1
HCO0972,677498641.0,191.0,159,0.0010665273174408558,0.2395435913809276,Quang Binh,Central,Hospital,Tier 1
HCO0234,672881443.0,193.0,160,0.0010592588633082174,0.2406028502442358,Bac Ninh,North,Vax Center,Tier 1
HCO1034,668146351.0,189.0,161,0.0010518048188821777,0.24165465506311798,Quang Ngai,Central,Vax Center,Tier 1
HCO1704,666373263.0,186.0,162,0.0010490136003117089,0.24270366866342968,Thai Nguyen,North,Vax Center,Tier 1
HCO0248,665000184.0,193.0,163,0.0010468520811973045,0.243750520744627,Quang Tri,Central,Vax Center,Tier 1
HCO0178,660313463.0,189.0,164,0.001039474183038947,0.24478999492766595,Khanh Hoa,South,Vax Center,Tier 1
HCO1442,659796596.0,192.0,165,0.0010386605241743771,0.24582865545184032,Hung Yen,North,Hospital,Tier 1
HCO1125,655707855.0,189.0,166,0.0010322239740375328,0.24686087942587787,Hue,Central,Vax Center,Tier 1
HCO1278,651227596.0,181.0,167,0.0010251710910890778,0.24788605051696694,Binh Dinh,Central,Hospital,Tier 1
HCO0546,650846613.0,181.0,168,0.001024571342613744,0.24891062185958068,Quang Tri,Central,Hospital,Tier 1
HCO1949,650428038.0,179.0,169,0.00102391241631503,0.2499345342758957,Lam Dong,South,Vax Center,Tier 1
HCO1413,650404611.0,176.0,170,0.0010238755372219165,0.2509584098131176,Hai Duong,North,Hospital,Tier 1
HCO1989,648435461.0,178.0,171,0.0010207756752590366,0.25197918548837667,Quang Ngai,Central,Vax Center,Tier 1
HCO0729,642626197.0,179.0,172,0.0010116306550696519,0.2529908161434463,Hai Phong,North,Hospital,Tier 1
HCO1734,642382556.0,181.0,173,0.0010112471121864293,0.25400206325563274,Quang Ninh,North,Vax Center,Tier 1
HCO1499,641354837.0,184.0,174,0.00100962926334981,0.25501169251898254,Bac Ninh,North,Hospital,Tier 1
HCO0093,641046340.0,179.0,175,0.0010091436232939673,0.2560208361422765,Quang Ninh,North,Hospital,Tier 1
HCO0709,638372648.0,176.0,176,0.0010049346620003858,0.2570257708042769,Nghe An,Central,Hospital,Tier 1
HCO1330,636063862.0,180.0,177,0.0010013001405561944,0.2580270709448331,Hai Duong,North,Vax Center,Tier 1
HCO1005,635885303.0,181.0,178,0.0010010190506177794,0.2590280899954509,Nghe An,Central,Vax Center,Tier 1
HCO1605,635422128.0,183.0,179,0.0010002899144094374,0.26002837990986033,Kien Giang,South,Hospital,Tier 1
HCO1556,633958435.0,186.0,180,0.000997985749538283,0.26102636565939863,Tien Giang,South,Vax Center,Tier 1
HCO1571,633270786.0,179.0,181,0.000996903243391513,0.26202326890279015,Long An,South,Hospital,Tier 1
HCO0006,632612458.0,181.0,182,0.0009958668947505772,0.2630191357975407,Hung Yen,North,Vax Center,Tier 1
HCO0359,626807347.0,188.0,183,0.0009867284122686967,0.2640058642098094,Bac Ninh,North,Vax Center,Tier 1
HCO1475,621752392.0,178.0,184,0.0009787708352793514,0.2649846350450888,Binh Duong,South,Vax Center,Tier 1
HCO1132,621747650.0,182.0,185,0.0009787633703602604,0.265963398415449,Binh Dinh,Central,Hospital,Tier 1
HCO1239,620540701.0,181.0,186,0.0009768633752881553,0.26694026179073715,Quang Binh,Central,Vax Center,Tier 1
HCO0742,617533793.0,175.0,187,0.0009721298609621369,0.2679123916516993,Da Nang,Central,Vax Center,Tier 1
HCO0780,616453203.0,175.0,188,0.0009704287818983439,0.2688828204335976,Kien Giang,South,Vax Center,Tier 1
HCO1690,613618667.0,164.0,189,0.0009659666178535461,0.26984878705145116,Binh Duong,South,Vax Center,Tier 1
HCO1102,609615468.0,174.0,190,0.000959664729063998,0.27080845178051516,Quang Tri,Central,Vax Center,Tier 1
HCO1196,607689557.0,175.0,191,0.0009566329345065536,0.2717650847150217,Ba Ria - Vung Tau,South,Hospital,Tier 1
HCO1142,605310635.0,175.0,192,0.0009528880040439387,0.2727179727190656,Lam Dong,South,Vax Center,Tier 1
HCO1763,603512418.0,176.0,193,0.0009500572270694555,0.2736680299461351,Hung Yen,North,Hospital,Tier 1
HCO1399,600946094.0,162.0,194,0.000946017285900918,0.27461404723203603,Dong Nai,South,Hospital,Tier 1
HCO1358,600848325.0,176.0,195,0.0009458633766485762,0.2755599106086846,Nam Dinh,North,Vax Center,Tier 1
HCO1333,600407216.0,173.0,196,0.0009451689770291547,0.2765050795857138,Quang Ngai,Central,Hospital,Tier 1
HCO1945,600225998.0,172.0,197,0.0009448837012577867,0.2774499632869716,Hung Yen,North,Vax Center,Tier 1
HCO1250,599602768.0,174.0,198,0.0009439026043524593,0.27839386589132403,Quang Nam,Central,Hospital,Tier 1
HCO0118,599055915.0,169.0,199,0.0009430417411302635,0.2793369076324543,Quang Tri,Central,Hospital,Tier 1
HCO0956,598768516.0,166.0,200,0.0009425893138249442,0.28027949694627924,Long An,South,Vax Center,Tier 1
HCO1234,598526386.0,172.0,201,0.0009422081495778974,0.28122170509585714,Can Tho,South,Hospital,Tier 1
HCO0193,596757769.0,164.0,202,0.0009394239693147369,0.2821611290651719,Binh Dinh,Central,Hospital,Tier 1
HCO0832,595714447.0,170.0,203,0.0009377815580292403,0.28309891062320114,Lam Dong,South,Vax Center,Tier 1
HCO1991,594128876.0,172.0,204,0.0009352855311992144,0.28403419615440034,Binh Dinh,Central,Hospital,Tier 1
HCO0220,593599985.0,166.0,205,0.0009344529439948829,0.2849686490983952,Ha Tinh,Central,Vax Center,Tier 1
HCO0326,592367938.0,172.0,206,0.000932513439319373,0.2859011625377146,Quang Tri,Central,Vax Center,Tier 1
HCO1782,591264477.0,166.0,207,0.0009307763564250169,0.2868319388941396,Ha Tinh,Central,Vax Center,Tier 1
HCO1933,591212910.0,175.0,208,0.0009306951789718825,0.2877626340731115,Da Nang,Central,Vax Center,Tier 1
HCO1687,590889307.0,170.0,209,0.000930185758851133,0.2886928198319626,Ninh Binh,North,Vax Center,Tier 1
HCO0013,590660924.0,177.0,210,0.0009298262353132266,0.28962264606727584,Khanh Hoa,South,Vax Center,Tier 1
HCO1351,590467323.0,166.0,211,0.0009295214660595509,0.2905521675333354,Ha Tinh,Central,Vax Center,Tier 1
HCO1211,590154149.0,171.0,212,0.0009290284634084767,0.2914811959967439,Ho Chi Minh City,South,Vax Center,Tier 1
HCO0124,589483361.0,166.0,213,0.000927972500070815,0.2924091684968147,Da Nang,Central,Vax Center,Tier 1
HCO1961,589387346.0,163.0,214,0.0009278213519884618,0.2933369898488032,Quang Ninh,North,Vax Center,Tier 1
HCO1620,587873485.0,165.0,215,0.0009254382119884683,0.29426242806079167,Binh Duong,South,Hospital,Tier 1
HCO0761,586369584.0,168.0,216,0.0009230707511521497,0.29518549881194384,Hung Yen,North,Vax Center,Tier 1
HCO0559,585913160.0,166.0,217,0.0009223522424572582,0.29610785105440107,Hung Yen,North,Vax Center,Tier 2
HCO0941,584024885.0,167.0,218,0.0009193796949885754,0.29702723074938964,Thai Nguyen,North,Vax Center,Tier 1
HCO1343,583184586.0,163.0,219,0.0009180568851937167,0.29794528763458333,Nghe An,Central,Vax Center,Tier 1
HCO0438,582697977.0,161.0,220,0.0009172908588727686,0.2988625784934561,Tien Giang,South,Hospital,Tier 1
HCO1727,582583156.0,163.0,221,0.0009171101061365932,0.2997796885995927,Bac Ninh,North,Vax Center,Tier 1
HCO1951,580632011.0,168.0,222,0.000914038587882746,0.30069372718747545,Ho Chi Minh City,South,Vax Center,Tier 1
HCO1546,580620691.0,168.0,223,0.0009140207677890915,0.3016077479552645,Thai Nguyen,North,Vax Center,Tier 1
HCO0728,580332466.0,164.0,224,0.0009135670401836521,0.30252131499544815,Tien Giang,South,Vax Center,Tier 1
HCO0681,580165042.0,164.0,225,0.0009133034791094459,0.3034346184745576,Kien Giang,South,Vax Center,Tier 1
HCO0979,579662569.0,160.0,226,0.0009125124794699699,0.3043471309540276,Lam Dong,South,Vax Center,Tier 1
HCO0138,576495524.0,160.0,227,0.0009075268753614822,0.3052546578293891,Binh Duong,South,Vax Center,Tier 1
HCO1818,575869548.0,167.0,228,0.0009065414556666515,0.30616119928505575,Quang Ngai,Central,Vax Center,Tier 1
HCO1624,574969506.0,155.0,229,0.0009051245976513687,0.3070663238827071,Bac Ninh,North,Vax Center,Tier 1
HCO0270,574833337.0,160.0,230,0.0009049102386113649,0.3079712341213185,Binh Dinh,Central,Vax Center,Tier 1
HCO0437,573836956.0,161.0,231,0.0009033417224686455,0.30887457584378714,Binh Dinh,Central,Vax Center,Tier 1
HCO0702,572648213.0,169.0,232,0.0009014703875224302,0.30977604623130955,Hai Phong,North,Vax Center,Tier 1
HCO0907,571647867.0,161.0,233,0.000899895629624292,0.31067594186093384,Tien Giang,South,Vax Center,Tier 1
HCO0673,571394179.0,161.0,234,0.0008994962706208443,0.3115754381315547,Hai Duong,North,Vax Center,Tier 1
HCO1254,571237128.0,161.0,235,0.0008992490388603729,0.31247468717041504,Quang Ngai,Central,Vax Center,Tier 2
HCO1555,570973122.0,157.0,236,0.0008988334371249175,0.31337352060754,Quang Ngai,Central,Hospital,Tier 1
HCO0996,570366274.0,162.0,237,0.000897878128980566,0.31427139873652055,Nam Dinh,North,Hospital,Tier 2
