Month,HCO_ID,Sales,Year,Quarter,Month_Period,Monthly_Growth,Province,Region,HCO_Type,HCO_Tier,Growth
2026-08-01,HCO1027,11422594.0,2026,2026 Q3,2026-08,3.1209338469741823,Long An,South,Vax Center,Tier 3,3.1209338469741823
2026-08-01,HCO0577,11843991.0,2026,2026 Q3,2026-08,3.028964411807827,Ho Chi Minh City,South,Vax Center,Tier 2,3.028964411807827
2026-08-01,HCO0874,10867500.0,2026,2026 Q3,2026-08,3.0250655936615267,Quang Binh,Central,Vax Center,Tier 3,3.0250655936615267
2026-08-01,HCO0150,11982798.0,2026,2026 Q3,2026-08,2.981539672028307,Dong Nai,South,Vax Center,Tier 2,2.981539672028307
2026-08-01,HCO0302,12614502.0,2026,2026 Q3,2026-08,2.9765407930698595,Hung Yen,North,Vax Center,Tier 3,2.9765407930698595
2026-08-01,HCO1939,12274447.0,2026,2026 Q3,2026-08,2.9147558979929715,Quang Binh,Central,Hospital,Tier 3,2.9147558979929715
2026-08-01,HCO1401,39180302.0,2026,2026 Q3,2026-08,2.9084174472883944,Tien Giang,South,Vax Center,Tier 2,2.9084174472883944
2026-08-01,HCO1309,29197584.0,2026,2026 Q3,2026-08,2.80061965640076,Ho Chi Minh City,South,Vax Center,Tier 2,2.80061965640076
2026-08-01,HCO1968,12504484.0,2026,2026 Q3,2026-08,2.764100230039512,Ninh Binh,North,Vax Center,Tier 3,2.764100230039512
2026-08-01,HCO1889,23334456.0,2026,2026 Q3,2026-08,2.731531367582559,Quang Ngai,Central,Vax Center,Tier 2,2.731531367582559
2026-08-01,HCO0515,39538067.0,2026,2026 Q3,2026-08,2.7030793443674384,Bac Ninh,North,Hospital,Tier 2,2.7030793443674384
2026-08-01,HCO1306,10980973.0,2026,2026 Q3,2026-08,2.63603802336262,Ho Chi Minh City,South,Vax Center,Tier 3,2.63603802336262
2026-08-01,HCO0318,11239545.0,2026,2026 Q3,2026-08,2.607344838576017,Thai Nguyen,North,Vax Center,Tier 3,2.607344838576017
2026-08-01,HCO0502,25209171.0,2026,2026 Q3,2026-08,2.558082992580285,Khanh Hoa,South,Vax Center,Tier 2,2.558082992580285
2026-08-01,HCO1841,21131647.0,2026,2026 Q3,2026-08,2.5481894897822457,Nam Dinh,North,Vax Center,Tier 2,2.5481894897822457
2026-08-01,HCO1249,9919316.0,2026,2026 Q3,2026-08,2.5248138062832006,Ho Chi Minh City,South,Vax Center,Tier 3,2.5248138062832006
2026-08-01,HCO0221,21865535.0,2026,2026 Q3,2026-08,2.48526668053407,Binh Dinh,Central,Vax Center,Tier 3,2.48526668053407
2026-08-01,HCO1137,19541295.0,2026,2026 Q3,2026-08,2.436504585424805,Binh Duong,South,Vax Center,Tier 2,2.436504585424805
2026-08-01,HCO0487,20337672.0,2026,2026 Q3,2026-08,2.4349400412746673,Nam Dinh,North,Vax Center,Tier 2,2.4349400412746673
2026-08-01,HCO1628,15857507.0,2026,2026 Q3,2026-08,2.4283373495434577,Ho Chi Minh City,South,Vax Center,Tier 2,2.4283373495434577
2026-08-01,HCO0116,10526633.0,2026,2026 Q3,2026-08,2.4013298833096703,Vinh Phuc,North,Vax Center,Tier 3,2.4013298833096703
2026-08-01,HCO1020,10098251.0,2026,2026 Q3,2026-08,2.3962674273829614,Thai Nguyen,North,Vax Center,Tier 3,2.3962674273829614
2026-08-01,HCO0748,9446479.0,2026,2026 Q3,2026-08,2.3625212861080738,Hai Duong,North,Vax Center,Tier 2,2.3625212861080738
2026-08-01,HCO0113,19814732.0,2026,2026 Q3,2026-08,2.3257622753590494,Tien Giang,South,Vax Center,Tier 2,2.3257622753590494
2026-08-01,HCO1726,10473275.0,2026,2026 Q3,2026-08,2.3093948576646834,Da Nang,Central,Hospital,Tier 3,2.3093948576646834
2026-08-01,HCO1325,10754920.0,2026,2026 Q3,2026-08,2.2279540801733115,Ho Chi Minh City,South,Vax Center,Tier 3,2.2279540801733115
2026-08-01,HCO0624,22139852.0,2026,2026 Q3,2026-08,2.227718678673355,Thai Nguyen,North,Vax Center,Tier 3,2.227718678673355
2026-08-01,HCO1209,8912599.0,2026,2026 Q3,2026-08,2.2001323484635225,Hung Yen,North,Vax Center,Tier 3,2.2001323484635225
2026-08-01,HCO1713,24486541.0,2026,2026 Q3,2026-08,2.1921731562498126,Hanoi,North,Hospital,Tier 2,2.1921731562498126
2026-08-01,HCO0272,9644963.0,2026,2026 Q3,2026-08,2.182532203257843,Bac Ninh,North,Vax Center,Tier 3,2.182532203257843
2026-08-01,HCO1079,10462550.0,2026,2026 Q3,2026-08,2.1686376482930476,Kien Giang,South,Vax Center,Tier 3,2.1686376482930476
2026-08-01,HCO0122,15284733.0,2026,2026 Q3,2026-08,2.1378903646914345,Ba Ria - Vung Tau,South,Vax Center,Tier 2,2.1378903646914345
2026-08-01,HCO1844,13719237.0,2026,2026 Q3,2026-08,2.130581964654403,Kien Giang,South,Vax Center,Tier 2,2.130581964654403
2026-08-01,HCO1747,36108786.0,2026,2026 Q3,2026-08,2.128246206018442,Khanh Hoa,South,Hospital,Tier 1,2.128246206018442
2026-08-01,HCO1685,47045285.0,2026,2026 Q3,2026-08,2.1194695561309156,Nam Dinh,North,Vax Center,Tier 1,2.1194695561309156
2026-08-01,HCO0458,23966416.0,2026,2026 Q3,2026-08,2.11496660495589,Thai Nguyen,North,Vax Center,Tier 2,2.11496660495589
2026-08-01,HCO1565,22969209.0,2026,2026 Q3,2026-08,2.113502670154307,Binh Duong,South,Vax Center,Tier 2,2.113502670154307
2026-08-01,HCO1136,22994241.0,2026,2026 Q3,2026-08,2.076722710495523,Ho Chi Minh City,South,Vax Center,Tier 2,2.076722710495523
2026-08-01,HCO1834,22303509.0,2026,2026 Q3,2026-08,2.058209830117805,Quang Tri,Central,Vax Center,Tier 2,2.058209830117805
2026-08-01,HCO0690,36819348.0,2026,2026 Q3,2026-08,2.0573563396967383,Can Tho,South,Vax Center,Tier 3,2.0573563396967383
2026-08-01,HCO0476,8661246.0,2026,2026 Q3,2026-08,2.05046490004649,Binh Duong,South,Vax Center,Tier 3,2.05046490004649
2026-08-01,HCO0341,21907718.0,2026,2026 Q3,2026-08,2.0465620464794427,Dong Nai,South,Vax Center,Tier 3,2.0465620464794427
2026-08-01,HCO0257,21756876.0,2026,2026 Q3,2026-08,2.0176708890536026,Hai Phong,North,Vax Center,Tier 3,2.0176708890536026
2026-08-01,HCO1184,27630947.0,2026,2026 Q3,2026-08,2.010463918053688,Nghe An,Central,Vax Center,Tier 2,2.010463918053688
2026-08-01,HCO1562,14556738.0,2026,2026 Q3,2026-08,2.0089196426024554,Hai Phong,North,Vax Center,Tier 2,2.0089196426024554
2026-08-01,HCO1853,46693572.0,2026,2026 Q3,2026-08,1.983059574917461,Nghe An,Central,Vax Center,Tier 2,1.983059574917461
2026-08-01,HCO1974,16378950.0,2026,2026 Q3,2026-08,1.9372038286521263,Binh Dinh,Central,Vax Center,Tier 2,1.9372038286521263
2026-08-01,HCO1805,18074786.0,2026,2026 Q3,2026-08,1.9229863619846528,Hung Yen,North,Vax Center,Tier 2,1.9229863619846528
2026-08-01,HCO0565,13476707.0,2026,2026 Q3,2026-08,1.9012307194851252,Hanoi,North,Vax Center,Tier 3,1.9012307194851252
2026-08-01,HCO1938,31162032.0,2026,2026 Q3,2026-08,1.8911864920996244,Ho Chi Minh City,South,Vax Center,Tier 2,1.8911864920996244
2026-08-01,HCO0053,22371754.0,2026,2026 Q3,2026-08,1.8730707019207737,Binh Duong,South,Vax Center,Tier 2,1.8730707019207737
2026-08-01,HCO1680,16633452.0,2026,2026 Q3,2026-08,1.8347704210234617,Vinh Phuc,North,Vax Center,Tier 2,1.8347704210234617
2026-08-01,HCO1969,16843781.0,2026,2026 Q3,2026-08,1.8017204756799052,Ho Chi Minh City,South,Vax Center,Tier 3,1.8017204756799052
2026-08-01,HCO1054,16563634.0,2026,2026 Q3,2026-08,1.8008004202984398,Ho Chi Minh City,South,Vax Center,Tier 2,1.8008004202984398
2026-08-01,HCO1075,8866243.0,2026,2026 Q3,2026-08,1.7840565789196865,Bac Ninh,North,Vax Center,Tier 2,1.7840565789196865
2026-08-01,HCO1551,9164711.0,2026,2026 Q3,2026-08,1.7835950116647394,Ba Ria - Vung Tau,South,Vax Center,Tier 2,1.7835950116647394
2026-08-01,HCO0615,11231057.0,2026,2026 Q3,2026-08,1.763111674561173,Quang Ngai,Central,Vax Center,Tier 3,1.763111674561173
2026-08-01,HCO1814,23186298.0,2026,2026 Q3,2026-08,1.7612942641297766,Tien Giang,South,Vax Center,Tier 2,1.7612942641297766
2026-08-01,HCO1731,24184747.0,2026,2026 Q3,2026-08,1.747037717330326,Ninh Binh,North,Vax Center,Tier 2,1.747037717330326
2026-08-01,HCO0309,18921933.0,2026,2026 Q3,2026-08,1.7184201271263144,Quang Ninh,North,Vax Center,Tier 2,1.7184201271263144
2026-08-01,HCO1622,7768824.0,2026,2026 Q3,2026-08,1.7014141279266273,Vinh Phuc,North,Vax Center,Tier 3,1.7014141279266273
2026-08-01,HCO0038,28855466.0,2026,2026 Q3,2026-08,1.6941285006182252,Nam Dinh,North,Vax Center,Tier 2,1.6941285006182252
2026-08-01,HCO0144,7257959.0,2026,2026 Q3,2026-08,1.6798720093578203,Tien Giang,South,Vax Center,Tier 3,1.6798720093578203
2026-08-01,HCO0760,7288614.0,2026,2026 Q3,2026-08,1.677600751487196,Quang Ngai,Central,Vax Center,Tier 3,1.677600751487196
2026-08-01,HCO1913,20559807.0,2026,2026 Q3,2026-08,1.6670688495498305,Nghe An,Central,Vax Center,Tier 2,1.6670688495498305
2026-08-01,HCO1263,7488391.0,2026,2026 Q3,2026-08,1.6616995813231523,Da Nang,Central,Hospital,Tier 3,1.6616995813231523
2026-08-01,HCO1775,18374179.0,2026,2026 Q3,2026-08,1.6451688924028218,Binh Dinh,Central,Vax Center,Tier 3,1.6451688924028218
2026-08-01,HCO0472,16487133.0,2026,2026 Q3,2026-08,1.623913627832517,Ba Ria - Vung Tau,South,Vax Center,Tier 2,1.623913627832517
2026-08-01,HCO1928,7696409.0,2026,2026 Q3,2026-08,1.6093776646293851,Quang Ninh,North,Vax Center,Tier 2,1.6093776646293851
2026-08-01,HCO0450,27735565.0,2026,2026 Q3,2026-08,1.6021009461378424,Nghe An,Central,Vax Center,Tier 2,1.6021009461378424
2026-08-01,HCO1700,7647304.0,2026,2026 Q3,2026-08,1.590680898188967,Nghe An,Central,Vax Center,Tier 3,1.590680898188967
2026-08-01,HCO0976,19689099.0,2026,2026 Q3,2026-08,1.590087129045782,Nghe An,Central,Vax Center,Tier 2,1.590087129045782
2026-08-01,HCO1433,7336531.0,2026,2026 Q3,2026-08,1.5842874297394869,Hung Yen,North,Vax Center,Tier 3,1.5842874297394869
2026-08-01,HCO1781,12812325.0,2026,2026 Q3,2026-08,1.5626654004343141,Thai Nguyen,North,Vax Center,Tier 3,1.5626654004343141
2026-08-01,HCO1706,22419926.0,2026,2026 Q3,2026-08,1.547083539957931,Dong Nai,South,Vax Center,Tier 3,1.547083539957931
2026-08-01,HCO1624,28778973.0,2026,2026 Q3,2026-08,1.5384403082718534,Bac Ninh,North,Vax Center,Tier 1,1.5384403082718534
2026-08-01,HCO0076,18849575.0,2026,2026 Q3,2026-08,1.523878301601822,Khanh Hoa,South,Hospital,Tier 2,1.523878301601822
2026-08-01,HCO1489,27140553.0,2026,2026 Q3,2026-08,1.5063972778531345,Hai Duong,North,Vax Center,Tier 2,1.5063972778531345
2026-08-01,HCO0892,19830022.0,2026,2026 Q3,2026-08,1.497759135924929,Ho Chi Minh City,South,Vax Center,Tier 2,1.497759135924929
