HCO_ID,Province,Region,Target_HCC,Vaccinated_HCC,Uptake_Rate,HCO_Type,HCO_Tier
HCO0232,Binh Duong,South,227,26,0.1145374449339207,Vax Center,Tier 3
HCO0233,Nam Dinh,North,199,16,0.08040201005025126,Vax Center,Tier 3
HCO0234,Bac Ninh,North,994,93,0.09356136820925554,Vax Center,Tier 1
HCO0235,Long An,South,402,37,0.09203980099502487,Vax Center,Tier 2
HCO0236,Hai Duong,North,255,30,0.11764705882352941,Vax Center,Tier 3
HCO0237,Vinh Phuc,North,751,63,0.08388814913448735,Vax Center,Tier 1
HCO0238,Hai Duong,North,312,32,0.10256410256410256,Vax Center,Tier 2
HCO0239,Bac Ninh,North,609,43,0.07060755336617405,Vax Center,Tier 2
HCO0240,Hanoi,North,517,40,0.07736943907156674,Vax Center,Tier 2
HCO0241,Hai Phong,North,155,14,0.09032258064516129,Vax Center,Tier 3
HCO0242,Hung Yen,North,466,40,0.08583690987124463,Vax Center,Tier 2
HCO0243,Hai Phong,North,287,20,0.06968641114982578,Vax Center,Tier 3
HCO0244,Quang Nam,Central,374,25,0.06684491978609626,Vax Center,Tier 2
HCO0245,Khanh Hoa,South,683,50,0.07320644216691069,Hospital,Tier 2
HCO0246,Nghe An,Central,789,65,0.08238276299112801,Hospital,Tier 1
HCO0247,Ninh Binh,North,299,27,0.0903010033444816,Vax Center,Tier 2
HCO0248,Quang Tri,Central,1050,96,0.09142857142857143,Vax Center,Tier 1
HCO0249,Ho Chi Minh City,South,332,27,0.08132530120481928,Vax Center,Tier 2
HCO0250,Ho Chi Minh City,South,183,22,0.12021857923497267,Vax Center,Tier 3
HCO0251,Hai Phong,North,309,35,0.11326860841423948,Vax Center,Tier 2
HCO0252,Hung Yen,North,1253,113,0.09018355945730247,Vax Center,Tier 1
HCO0253,Thai Nguyen,North,420,37,0.0880952380952381,Vax Center,Tier 2
HCO0254,Thai Nguyen,North,270,25,0.09259259259259259,Vax Center,Tier 3
HCO0255,Da Nang,Central,483,35,0.07246376811594203,Vax Center,Tier 2
HCO0256,Nghe An,Central,260,25,0.09615384615384616,Vax Center,Tier 3
HCO0257,Hai Phong,North,218,20,0.09174311926605505,Vax Center,Tier 3
HCO0258,Nghe An,Central,371,36,0.09703504043126684,Vax Center,Tier 2
HCO0259,Quang Tri,Central,312,35,0.11217948717948718,Vax Center,Tier 2
HCO0260,Quang Ninh,North,457,47,0.10284463894967177,Hospital,Tier 2
HCO0261,Binh Duong,South,181,25,0.13812154696132597,Vax Center,Tier 3
HCO0262,Hai Phong,North,257,14,0.054474708171206226,Vax Center,Tier 3
HCO0263,Long An,South,563,46,0.08170515097690942,Vax Center,Tier 2
HCO0264,Quang Ninh,North,440,36,0.08181818181818182,Vax Center,Tier 2
HCO0265,Ho Chi Minh City,South,705,68,0.09645390070921986,Hospital,Tier 1
HCO0266,Long An,South,290,27,0.09310344827586207,Vax Center,Tier 3
HCO0267,Kien Giang,South,255,18,0.07058823529411765,Vax Center,Tier 3
HCO0268,Binh Duong,South,630,48,0.0761904761904762,Vax Center,Tier 2
HCO0269,Dong Nai,South,157,14,0.08917197452229299,Vax Center,Tier 3
HCO0270,Binh Dinh,Central,1100,78,0.07090909090909091,Vax Center,Tier 1
HCO0271,Dong Nai,South,162,17,0.10493827160493827,Vax Center,Tier 3
HCO0272,Bac Ninh,North,228,18,0.07894736842105263,Vax Center,Tier 3
HCO0273,Hue,Central,452,41,0.09070796460176991,Vax Center,Tier 2
HCO0274,Quang Tri,Central,751,58,0.07723035952063914,Hospital,Tier 1
HCO0275,Ho Chi Minh City,South,800,58,0.0725,Vax Center,Tier 1
HCO0276,Quang Binh,Central,476,47,0.09873949579831932,Vax Center,Tier 2
HCO0277,Nghe An,Central,626,53,0.08466453674121406,Vax Center,Tier 2
HCO0278,Quang Ngai,Central,478,40,0.08368200836820083,Vax Center,Tier 2
HCO0279,Vinh Phuc,North,1066,102,0.09568480300187618,Hospital,Tier 1
HCO0280,Bac Ninh,North,221,23,0.10407239819004525,Vax Center,Tier 3
HCO0281,Quang Binh,Central,203,15,0.07389162561576355,Vax Center,Tier 3
HCO0282,Nghe An,Central,201,13,0.06467661691542288,Vax Center,Tier 3
HCO0283,Thai Nguyen,North,113,7,0.061946902654867256,Vax Center,Tier 3
HCO0284,Thanh Hoa,Central,523,40,0.07648183556405354,Vax Center,Tier 2
HCO0285,Thanh Hoa,Central,151,13,0.08609271523178808,Vax Center,Tier 3
HCO0286,Ninh Binh,North,443,42,0.09480812641083522,Vax Center,Tier 2
HCO0287,Nghe An,Central,148,15,0.10135135135135136,Vax Center,Tier 3
HCO0288,Khanh Hoa,South,2479,217,0.08753529649052037,Hospital,Tier 1
HCO0289,Vinh Phuc,North,578,57,0.0986159169550173,Vax Center,Tier 2
HCO0290,Can Tho,South,323,34,0.10526315789473684,Vax Center,Tier 2
HCO0291,Long An,South,655,62,0.09465648854961832,Vax Center,Tier 2
HCO0292,Quang Binh,Central,583,59,0.10120068610634649,Vax Center,Tier 2
HCO0293,Ninh Binh,North,716,77,0.10754189944134078,Vax Center,Tier 1
HCO0294,Hue,Central,209,24,0.11483253588516747,Vax Center,Tier 3
HCO0295,Ho Chi Minh City,South,380,36,0.09473684210526316,Vax Center,Tier 2
HCO0296,Binh Dinh,Central,200,25,0.125,Vax Center,Tier 3
HCO0297,Binh Duong,South,368,32,0.08695652173913043,Vax Center,Tier 2
HCO0298,Hue,Central,287,24,0.08362369337979095,Vax Center,Tier 2
HCO0299,Quang Ngai,Central,208,14,0.0673076923076923,Vax Center,Tier 3
HCO0300,Vinh Phuc,North,246,19,0.07723577235772358,Vax Center,Tier 3
HCO0301,Lam Dong,South,260,27,0.10384615384615385,Vax Center,Tier 3
HCO0302,Hung Yen,North,127,16,0.12598425196850394,Vax Center,Tier 3
HCO0303,Khanh Hoa,South,239,17,0.07112970711297072,Vax Center,Tier 3
HCO0304,Ho Chi Minh City,South,647,59,0.09119010819165378,Vax Center,Tier 2
HCO0305,Bac Ninh,North,617,69,0.11183144246353323,Hospital,Tier 2
HCO0306,Quang Ngai,Central,158,22,0.13924050632911392,Vax Center,Tier 3
HCO0307,Quang Ninh,North,202,21,0.10396039603960396,Vax Center,Tier 3
HCO0308,Lam Dong,South,1001,134,0.13386613386613386,Vax Center,Tier 1
HCO0309,Quang Ninh,North,366,28,0.07650273224043716,Vax Center,Tier 2
HCO0310,Tien Giang,South,546,52,0.09523809523809523,Vax Center,Tier 2
HCO0311,Bac Ninh,North,369,29,0.07859078590785908,Hospital,Tier 2
HCO0312,Can Tho,South,401,40,0.09975062344139651,Vax Center,Tier 2
HCO0313,Binh Duong,South,444,53,0.11936936936936937,Vax Center,Tier 2
HCO0314,Quang Nam,Central,220,13,0.05909090909090909,Vax Center,Tier 3
HCO0315,Dong Nai,South,1142,100,0.08756567425569177,Hospital,Tier 1
HCO0316,Binh Duong,South,364,33,0.09065934065934066,Vax Center,Tier 2
HCO0317,Can Tho,South,876,76,0.0867579908675799,Hospital,Tier 1
HCO0318,Thai Nguyen,North,183,19,0.10382513661202186,Vax Center,Tier 3
HCO0319,Quang Nam,Central,1620,146,0.09012345679012346,Vax Center,Tier 1
HCO0320,Quang Ninh,North,199,16,0.08040201005025126,Vax Center,Tier 3
HCO0321,Quang Ngai,Central,728,65,0.08928571428571429,Hospital,Tier 1
HCO0322,Hung Yen,North,356,33,0.09269662921348315,Hospital,Tier 2
HCO0323,Da Nang,Central,267,31,0.11610486891385768,Vax Center,Tier 3
HCO0324,Da Nang,Central,252,24,0.09523809523809523,Vax Center,Tier 3
HCO0325,Quang Binh,Central,182,17,0.09340659340659341,Vax Center,Tier 3
HCO0326,Quang Tri,Central,800,84,0.105,Vax Center,Tier 1
HCO0327,Dong Nai,South,1447,138,0.09536973047684866,Vax Center,Tier 1
HCO0328,Binh Duong,South,391,38,0.09718670076726342,Vax Center,Tier 2
HCO0329,Quang Binh,Central,219,21,0.0958904109589041,Vax Center,Tier 3
HCO0330,Quang Ngai,Central,104,8,0.07692307692307693,Vax Center,Tier 3
HCO0331,Tien Giang,South,300,31,0.10333333333333333,Hospital,Tier 2
HCO0332,Bac Ninh,North,302,32,0.10596026490066225,Vax Center,Tier 2
HCO0333,Bac Ninh,North,498,44,0.08835341365461848,Hospital,Tier 2
HCO0334,Quang Ninh,North,419,44,0.10501193317422435,Vax Center,Tier 2
HCO0335,Binh Dinh,Central,270,27,0.1,Vax Center,Tier 3
HCO0336,Nghe An,Central,344,26,0.0755813953488372,Vax Center,Tier 2
HCO0337,Dong Nai,South,380,42,0.11052631578947368,Vax Center,Tier 2
HCO0338,Binh Dinh,Central,604,49,0.08112582781456953,Vax Center,Tier 2
HCO0339,Ninh Binh,North,321,35,0.10903426791277258,Vax Center,Tier 2
HCO0340,Ba Ria - Vung Tau,South,325,25,0.07692307692307693,Hospital,Tier 2
HCO0341,Dong Nai,South,232,24,0.10344827586206896,Vax Center,Tier 3
HCO0342,Vinh Phuc,North,387,35,0.09043927648578812,Vax Center,Tier 2
