HCP_ID,Region,Province,Specialty,HCP_Tier,Patient_Potential,Vaccine_X_Relevance,Influence_Score,Target_HCP,Ever_Engaged,Sales,Vaccinated_HCC,Actual_Uptake_Rate,Opportunity_Segment,Latest_Growth
HCP01703,North,Quang Ninh,Infectious Disease,Tier 2,81.0,0.8369230878639334,0.9622890551654348,1,1,83466434.0,11.0,0.00811319887723549,Untapped Potential,-0.0037310311534046736
HCP03962,Central,Quang Binh,Gynecology,Tier 2,80.0,0.3513353033744951,0.961880616510445,0,1,140498851.0,21.0,0.03735747553387713,Emerging / Efficient,0.4689657818014423
HCP00783,North,Ninh Binh,Gynecology,Tier 2,75.0,0.9521160172827378,0.9618138314309816,1,0,116480899.0,18.0,0.012603506066673504,Untapped Potential,0.1572585102728481
HCP04542,South,Can Tho,Infectious Disease,Tier 2,82.0,0.8334286584485618,0.9609690964554792,1,0,69538739.0,9.0,0.006584612638908291,Untapped Potential,0.0
HCP02676,Central,Quang Ngai,Family Medicine,Tier 3,36.0,0.7532956332205064,0.9606609748421948,1,0,41564662.0,6.0,0.011062500518828814,Low Priority,0.0
HCP04828,Central,Nghe An,Pediatrics,Tier 3,26.0,0.6257495574482803,0.9604776947287778,0,0,93986040.0,14.0,0.043025323154626725,Emerging / Efficient,-0.28653948024429765
HCP03373,North,Hai Phong,General Practice,Tier 2,94.0,0.6934676492601891,0.9595085328046432,1,1,153165145.0,22.0,0.016874799670984836,High Performer,-0.20283360904112513
HCP01130,South,Binh Duong,Pediatrics,Tier 2,45.0,0.8465959729877857,0.958851686888778,1,1,90384550.0,11.0,0.014436900968342497,Low Priority,0.0
HCP01336,North,Bac Ninh,General Practice,Tier 2,45.0,0.5226861217787324,0.9586715310067296,0,1,75889667.0,13.0,0.027635025768981827,Emerging / Efficient,0.3981296927630362
HCP02636,Central,Quang Ngai,Gynecology,Tier 3,39.0,0.959176242437754,0.9579096369462607,1,1,321428866.0,47.0,0.06282099951023402,Emerging / Efficient,-0.5208161067441153
HCP03514,North,Quang Ninh,Family Medicine,Tier 2,55.0,0.7524613766679861,0.9575821021936392,1,1,215620352.0,32.0,0.03866099974423681,High Performer,-0.30043925361137
HCP03326,South,Dong Nai,Family Medicine,Tier 2,69.0,0.5992389665783407,0.9568308156676748,0,0,317683786.0,45.0,0.0544168478201106,High Performer,0.08686058471125957
HCP04014,Central,Binh Dinh,Pediatrics,Tier 3,34.0,0.7361423335429254,0.956684277755806,0,1,29344664.0,4.0,0.007990782044643088,Low Priority,0.0
HCP04011,Central,Da Nang,Infectious Disease,Tier 2,56.0,0.7139119124625016,0.9566281543346206,1,1,191573831.0,25.0,0.0312663623925746,High Performer,-0.6101927747055326
HCP02345,Central,Quang Ngai,Oncology,Tier 3,12.0,0.6098600512012947,0.956360268028415,0,1,32676480.0,5.0,0.034160842790564964,Emerging / Efficient,0.0
HCP02593,South,Lam Dong,Infectious Disease,Tier 2,61.0,0.6372338487501148,0.9562163122999744,0,0,43854761.0,6.0,0.007717783348344708,Low Priority,0.0
HCP02818,North,Ninh Binh,General Practice,Tier 2,47.0,0.6016616467100543,0.9560265378638352,0,1,58101618.0,9.0,0.015913376126699328,Low Priority,0.0
HCP02001,South,Kien Giang,Pediatrics,Tier 2,49.0,0.773935722012867,0.9555090450637636,1,1,100114879.0,14.0,0.018458528117244317,Emerging / Efficient,2.070415805562112
HCP03578,South,Ho Chi Minh City,General Practice,Tier 2,95.0,0.8751607408579534,0.955508081208725,1,1,170849706.0,22.0,0.01323065218518574,Untapped Potential,0.005117536890514973
HCP04418,Central,Hue,Gynecology,Tier 2,55.0,0.5989666817072523,0.9551720913259336,0,0,126552402.0,17.0,0.025802011909067984,Emerging / Efficient,-0.22839726724762288
HCP01307,South,Kien Giang,Family Medicine,Tier 3,37.0,0.9440622742305048,0.9549811539812476,1,1,149713518.0,22.0,0.03149128033313493,Emerging / Efficient,-0.05577138270159243
HCP00208,North,Quang Ninh,Oncology,Tier 3,33.0,0.5038333738838583,0.9522046195020242,0,1,59473812.0,7.0,0.021050730570510948,Emerging / Efficient,0.0
HCP01246,North,Bac Ninh,Family Medicine,Tier 3,35.0,0.8282215304757861,0.952016305987068,1,1,228186854.0,32.0,0.055195722439169585,Emerging / Efficient,0.2555432212947695
HCP02167,North,Quang Ninh,General Practice,Tier 2,81.0,0.4140154621213668,0.951833535604124,0,1,75683585.0,11.0,0.016400651854880793,Low Priority,-0.29251868022814176
HCP02412,South,Dong Nai,Gynecology,Tier 1,120.0,0.6638770757569576,0.9517719505033296,1,1,240138978.0,33.0,0.020711665611170785,High Performer,0.9764634624987414
HCP02785,Central,Quang Ngai,General Practice,Tier 3,41.0,0.8941732898790317,0.9517459630046664,1,1,435338198.0,63.0,0.08592212400247025,Emerging / Efficient,-0.03864074851600008
HCP03920,South,Khanh Hoa,Pediatrics,Tier 3,29.0,0.6260040897708272,0.9516175033686906,0,0,9254787.0,2.0,0.005508391907361722,Low Priority,-0.13036800970395135
HCP03565,Central,Thanh Hoa,General Practice,Tier 1,105.0,0.8202907100333403,0.951481031999316,1,0,85179369.0,12.0,0.0069661714370182985,Untapped Potential,0.0
HCP00079,North,Hai Duong,Gynecology,Tier 2,45.0,0.7459601319943059,0.95074995597214,1,1,31160485.0,4.0,0.005958018738296821,Low Priority,0.0
HCP03342,North,Bac Ninh,General Practice,Tier 3,36.0,0.7979411049850403,0.9504881437224804,1,1,156839067.0,22.0,0.038292996017705354,Emerging / Efficient,-0.5635270961674808
HCP02720,Central,Quang Binh,Family Medicine,Tier 3,16.0,0.5949000442199605,0.9499403952358564,0,1,53498492.0,7.0,0.03677088312992604,Emerging / Efficient,0.0
HCP01739,North,Nam Dinh,Family Medicine,Tier 2,66.0,0.8221249273832993,0.9495260098372664,1,1,62170212.0,8.0,0.0073718796970383355,Untapped Potential,0.0
HCP00501,Central,Ha Tinh,Infectious Disease,Tier 2,74.0,0.6151343077485769,0.9489525396159312,0,1,61720534.0,7.0,0.007688938285755485,Untapped Potential,1.3243644154795504
HCP00924,South,Binh Duong,Gynecology,Tier 1,112.0,0.3247773233176173,0.9488821416866394,0,0,34155076.0,6.0,0.008247409028468126,Low Priority,0.0
HCP01029,North,Ninh Binh,Gynecology,Tier 3,30.0,0.8749994534845676,0.9483370289231658,1,1,109747488.0,16.0,0.0304762095112977,Emerging / Efficient,0.4313028800396157
HCP03779,Central,Quang Binh,Gynecology,Tier 1,172.0,0.4092014880069883,0.9480398610453914,1,1,166014106.0,20.0,0.0142080458130514,Untapped Potential,0.02211740222723746
HCP02026,North,Hai Duong,General Practice,Tier 2,61.0,0.8966803183893396,0.9474496163048882,1,0,147469434.0,22.0,0.02011060855850752,High Performer,-0.09859793833566499
HCP03533,South,Khanh Hoa,General Practice,Tier 3,35.0,0.5774721086985402,0.9473312504724656,0,1,36739047.0,6.0,0.014843017424246104,Low Priority,0.0
HCP00398,Central,Binh Dinh,Gynecology,Tier 2,97.0,0.9159744405450944,0.947047906888796,1,1,143065646.0,19.0,0.010692235502948547,Untapped Potential,-0.2472973624167787
HCP03859,North,Nam Dinh,Gynecology,Tier 3,17.0,0.7396719276362319,0.946376911237244,0,0,36516906.0,6.0,0.023857953998503205,Emerging / Efficient,0.8040615208552793
HCP04616,North,Bac Ninh,Infectious Disease,Tier 2,48.0,0.5995277506435582,0.9461536542899672,0,1,497834841.0,71.0,0.1233609841311655,Emerging / Efficient,-0.42176397409217514
HCP01326,North,Hai Phong,General Practice,Tier 3,37.0,0.684595626460315,0.9461243339673796,0,1,64553110.0,9.0,0.017765468682653326,Emerging / Efficient,-0.5300781984771947
HCP01833,Central,Quang Binh,General Practice,Tier 2,49.0,0.931603806837468,0.9458132780263332,1,1,48055444.0,6.0,0.006571944999211439,Untapped Potential,-0.012943592248998437
HCP00992,Central,Quang Tri,Pediatrics,Tier 2,87.0,0.7165226724180012,0.9458070714276924,1,1,49522959.0,7.0,0.005614600431513236,Untapped Potential,0.0
HCP00073,Central,Quang Ngai,General Practice,Tier 3,32.0,0.9295803277065992,0.9452922098141114,1,1,35660047.0,6.0,0.010085196212283664,Low Priority,1.2928640643593217
HCP00747,Central,Thanh Hoa,General Practice,Tier 2,63.0,0.6556122340969184,0.9448384514099016,0,1,146507981.0,19.0,0.02300043271787987,High Performer,0.3998382160781122
HCP02865,North,Bac Ninh,Family Medicine,Tier 1,103.0,0.7517779320285999,0.9446429980185178,1,1,155496026.0,21.0,0.013560087790517556,Untapped Potential,0.7938050614652934
HCP01544,South,Tien Giang,Gynecology,Tier 3,35.0,0.8860846541855772,0.944436962816214,1,1,80418207.0,11.0,0.017734519653462583,Emerging / Efficient,-0.6146742348665031
HCP00993,Central,Thanh Hoa,Gynecology,Tier 3,24.0,0.6964354322946722,0.9441186796763698,0,1,12904553.0,2.0,0.0059828470428880875,Low Priority,-0.10806913732160739
HCP03278,Central,Quang Binh,Gynecology,Tier 3,14.0,0.8478274652927542,0.9440625329414758,1,0,56277905.0,8.0,0.033699578913220125,Emerging / Efficient,0.0
HCP03788,South,Binh Duong,Pediatrics,Tier 1,226.0,0.5984135515850156,0.9439902159290132,1,1,192140659.0,27.0,0.00998214581139042,Untapped Potential,0.5481761084826084
HCP01304,South,Khanh Hoa,General Practice,Tier 2,53.0,0.6213890822589226,0.943754340418408,0,1,134973441.0,20.0,0.030364106913033807,Emerging / Efficient,2.3975857926328343
HCP02170,South,Kien Giang,Infectious Disease,Tier 2,55.0,0.8087735414971116,0.9421422563583066,1,1,143407350.0,19.0,0.021356691813574812,High Performer,-0.4489639569890367
HCP00472,Central,Da Nang,Gynecology,Tier 3,39.0,0.9107579744675034,0.9418608579341796,1,1,82489243.0,11.0,0.015484425608032152,Low Priority,0.0
HCP00024,South,Ho Chi Minh City,Family Medicine,Tier 2,94.0,0.8684227588822991,0.9417328013858832,1,0,336347140.0,44.0,0.026950301658689037,High Performer,0.36979108123306537
HCP02630,North,Hung Yen,Oncology,Tier 1,197.0,0.8448903155642123,0.9415655576322084,1,1,118988637.0,18.0,0.005407243797948959,Untapped Potential,-0.6135935177676424
HCP04559,North,Hai Duong,Infectious Disease,Tier 3,10.0,0.6752722664934712,0.9415441623106072,0,1,43644045.0,6.0,0.044426524660612664,Emerging / Efficient,0.0
HCP00137,Central,Quang Binh,Family Medicine,Tier 3,44.0,0.7602730003015188,0.9412222174665488,1,1,95659415.0,13.0,0.019430819280532804,Emerging / Efficient,0.01994615435600977
HCP04690,North,Nam Dinh,Gynecology,Tier 2,48.0,0.2634784424557015,0.9411419081073829,0,1,17882943.0,3.0,0.01186055288195126,Low Priority,0.0
HCP03647,Central,Hue,Pediatrics,Tier 2,73.0,0.5736062900809752,0.9408479746636348,0,1,83855376.0,11.0,0.013134874400137535,Untapped Potential,-0.4612506119227484
HCP03968,South,Lam Dong,Gynecology,Tier 2,46.0,0.8526197877745364,0.9408051994381714,1,1,128770673.0,19.0,0.024222020423603708,Emerging / Efficient,-0.34696254615357036
